ID,Type,Expected,Date,Price,Target,Reverse,Target_Hit,Target_Time_h,Reverse_Hit,Reverse_Time_h,Max_Favorable_%,Max_Adverse_%,Execution_%,Overexecution_%,Target_Distance_%,Reverse_Distance_%
1,bearish_regular,down,Mon Jan 02,16711,16585,16836,YES,1,YES,1,0.6,1.4,78.7,0,0.8,2.0
2,bearish_regular,down,Tue Jan 03,16695,16633,16756,YES,1,YES,1,0.5,1.5,135,35,0.4,2.0
3,bullish_hidden,up,Tue Jan 03,16690,16753,16627,YES,1,YES,1,1.6,0.5,411.3,311.3,0.4,2.0
4,bullish_hidden,up,Tue Jan 03,16667,16743,16591,YES,1,YES,1,1.7,0.3,373.9,273.9,0.5,2.0
5,bullish_hidden,up,Tue Jan 03,16627,16749,16505,YES,1,YES,1,1.9,0,265.6,165.6,0.7,2.0
6,bearish_regular,down,Wed Jan 04,16842,16691,16992,YES,1,YES,1,0.7,0.7,76.4,0,0.9,2.0
7,bullish_hidden,up,Thu Jan 05,16799,16901,16697,YES,1,YES,1,1,0.4,158.6,58.6,0.6,2.0
8,bullish_hidden,up,Fri Jan 06,16756,16872,16640,YES,1,YES,1,3,0.2,439,339,0.7,2.0
9,bearish_regular,down,Sat Jan 07,16941,16670,17212,YES,1,YES,1,0.2,2.4,10.5,0,1.6,2.0
10,bullish_hidden,up,Sun Jan 08,16919,16944,16893,YES,1,YES,1,3.2,0,2168.5,2068.5,0.1,2.0
